Date,Open,High,Low,Close,Adj Close,Volume
2020-11-11,2900,3100,2880,3080,2558.146729,480530200
2020-11-12,3080,3080,3010,3040,2524.923828,169609900
2020-11-13,3010,3010,2950,2990,2483.395508,186708800
2020-11-16,3040,3100,3020,3070,2549.840820,206145500
2020-11-17,3100,3270,3100,3220,2674.426025,527501800
2020-11-18,3200,3250,3160,3180,2641.203369,239122600
2020-11-19,3150,3220,3140,3170,2632.897949,185558800
2020-11-20,3190,3270,3180,3220,2674.426025,211892500
2020-11-23,3230,3340,3220,3320,2757.482910,260752200
2020-11-24,3350,3380,3330,3350,2782.399902,207503900
2020-11-25,3370,3390,3280,3280,2724.260010,253156200
2020-11-26,3280,3480,3280,3470,2882.067627,374185400
2020-11-27,3480,3500,3420,3460,2873.761963,163651600
2020-11-30,3460,3470,3220,3230,2682.731934,624142600
2020-12-01,3230,3320,3160,3240,2691.037109,277929200
2020-12-02,3270,3330,3240,3330,2765.788330,187276600
2020-12-03,3330,3360,3280,3300,2740.871094,121434200
2020-12-04,3270,3280,3210,3250,2699.342773,170418900
2020-12-07,3280,3330,3260,3330,2765.788330,175436900
2020-12-08,3350,3350,3290,3300,2740.871094,113775100
2020-12-10,3270,3290,3250,3260,2707.648926,229380200
2020-12-11,3270,3330,3250,3280,2724.260010,154365400
2020-12-14,3300,3340,3250,3320,2757.482910,281474900
2020-12-15,3320,3490,3290,3450,2865.456299,410175700
2020-12-16,3500,3640,3500,3610,2998.347168,455088400
2020-12-17,3610,3620,3520,3540,2940.207520,249797800
2020-12-18,3500,3540,3500,3510,2915.290283,187856600
2020-12-21,3530,3610,3510,3520,2923.596191,267970200
2020-12-22,3500,3540,3340,3360,2790.705322,311860000
2020-12-23,3350,3420,3240,3320,2757.482910,240067600
2020-12-28,3370,3460,3280,3430,2848.844971,178138100
2020-12-29,3500,3530,3400,3420,2840.539307,184525500
2020-12-30,3420,3420,3310,3310,2749.177002,150844500
2021-01-04,3320,3500,3310,3490,2898.679199,165339800
2021-01-05,3480,3480,3420,3470,2882.067627,157800700
2021-01-06,3470,3490,3330,3370,2799.010986,177877900
2021-01-07,3390,3450,3380,3390,2815.622314,140221900
2021-01-08,3450,3620,3440,3570,2965.124512,492643700
2021-01-11,3590,3640,3570,3600,2990.041260,271231200
2021-01-12,3600,3620,3500,3510,2915.290283,189779500
2021-01-13,3550,3550,3460,3480,2890.373535,162329300
2021-01-14,3480,3590,3470,3500,2906.984619,187448400
2021-01-15,3510,3540,3450,3480,2890.373535,133304300
2021-01-18,3480,3520,3430,3450,2865.456299,138913100
2021-01-19,3470,3490,3370,3410,2832.233643,144100700
2021-01-20,3420,3480,3380,3470,2882.067627,116098100
2021-01-21,3500,3520,3460,3480,2890.373535,81801900
2021-01-22,3420,3440,3360,3390,2815.622314,165024200
2021-01-25,3370,3410,3310,3370,2799.010986,118131800
2021-01-26,3360,3390,3260,3260,2707.648926,111414500
2021-01-27,3340,3380,3260,3380,2807.316650,159144700
2021-01-28,3280,3330,3230,3240,2691.037109,142648800
2021-01-29,3290,3290,3110,3110,2583.063721,191915100
2021-02-01,3130,3250,3040,3230,2682.731934,133929600
2021-02-02,3300,3330,3250,3270,2715.954346,114734600
